2025-07-03 21:21:00 | BRUSDT | SHORT | -7.56% -> STOP
2025-07-03 21:28:00 | BRUSDT | LONG | 4.04% -> STOP
2025-07-03 21:57:00 | BRUSDT | SHORT | -5.36% -> STOP
2025-07-03 22:12:00 | BRUSDT | LONG | 5.34% -> STOP
2025-07-03 22:14:00 | BRUSDT | LONG | 4.78% -> STOP
2025-07-03 22:17:00 | BRUSDT | LONG | 4.34% -> STOP
2025-06-21 21:32:00 | NILUSDT | SHORT | -5.27% -> STOP
2025-06-29 19:23:00 | PARTIUSDT | LONG | 4.09% -> TAKE
2025-06-13 02:14:00 | JELLYJELLYUSDT | LONG | 4.73% -> STOP
2025-06-13 05:20:00 | JELLYJELLYUSDT | LONG | 6.92% -> STOP
2025-06-13 16:13:00 | JELLYJELLYUSDT | LONG | 4.24% -> STOP
2025-06-13 23:05:00 | JELLYJELLYUSDT | LONG | 4.88% -> STOP
2025-07-01 12:10:00 | JELLYJELLYUSDT | SHORT | -5.71% -> STOP
2025-07-01 13:54:00 | JELLYJELLYUSDT | SHORT | -4.12% -> STOP
2025-07-02 10:06:00 | JELLYJELLYUSDT | LONG | 7.69% -> STOP
2025-06-26 09:30:00 | MAVIAUSDT | SHORT | -5.7% -> STOP
2025-06-19 16:00:00 | FUNUSDT | SHORT | -4.28% -> STOP
2025-06-21 15:18:00 | FUNUSDT | LONG | 5.88% -> STOP
2025-06-21 16:27:00 | FUNUSDT | SHORT | -4.27% -> STOP
2025-06-22 07:11:00 | FUNUSDT | SHORT | -4.1% -> STOP
2025-06-23 03:55:00 | FUNUSDT | LONG | 7.73% -> STOP
2025-06-23 04:03:00 | FUNUSDT | LONG | 5.44% -> STOP
2025-06-23 04:11:00 | FUNUSDT | SHORT | -7.84% -> STOP
2025-06-23 04:13:00 | FUNUSDT | SHORT | -4.23% -> STOP
2025-06-23 11:05:00 | FUNUSDT | SHORT | -7.49% -> TAKE
2025-06-23 13:15:00 | FUNUSDT | SHORT | -4.45% -> STOP
2025-07-03 03:15:00 | FUNUSDT | LONG | 5.25% -> TAKE
2025-07-03 04:54:00 | FUNUSDT | SHORT | -7.49% -> STOP
2025-07-03 05:38:00 | FUNUSDT | SHORT | -4.01% -> STOP
2025-07-03 17:22:00 | FUNUSDT | SHORT | -6.02% -> STOP
2025-06-10 14:01:00 | PUMPUSDT | SHORT | -5.61% -> STOP
2025-06-13 08:33:00 | PUMPUSDT | LONG | 7.49% -> STOP
2025-06-13 08:36:00 | PUMPUSDT | SHORT | -8.0% -> TAKE
2025-06-13 08:38:00 | PUMPUSDT | LONG | 4.7% -> TAKE
2025-06-13 08:53:00 | PUMPUSDT | SHORT | -5.82% -> TAKE
2025-06-18 13:28:00 | FHEUSDT | LONG | 7.67% -> STOP
2025-06-05 19:17:00 | KERNELUSDT | SHORT | -4.15% -> STOP
2025-06-06 17:23:00 | WCTUSDT | SHORT | -4.65% -> STOP
2025-06-19 18:22:00 | WCTUSDT | SHORT | -5.28% -> STOP
2025-06-12 15:00:00 | INITUSDT | SHORT | -5.85% -> STOP
2025-06-13 03:06:00 | AERGOUSDT | LONG | 4.14% -> TAKE
2025-06-20 07:00:00 | AERGOUSDT | LONG | 8.12% -> STOP
2025-06-29 00:05:00 | AERGOUSDT | LONG | 4.49% -> STOP
2025-06-10 04:41:00 | EPTUSDT | LONG | 11.69% -> STOP
2025-06-10 04:46:00 | EPTUSDT | LONG | 4.49% -> STOP
2025-06-12 00:52:00 | MEMEFIUSDT | SHORT | -4.42% -> STOP
2025-06-15 08:16:00 | MEMEFIUSDT | LONG | 13.29% -> STOP
2025-06-15 17:32:00 | MEMEFIUSDT | LONG | 4.24% -> TAKE
2025-06-05 05:00:00 | FISUSDT | SHORT | -9.43% -> TAKE
2025-07-01 08:17:00 | FISUSDT | LONG | 5.97% -> TAKE
2025-07-02 06:57:00 | FISUSDT | LONG | 4.99% -> STOP
2025-07-02 07:00:00 | FISUSDT | SHORT | -5.18% -> STOP
2025-06-16 07:58:00 | AIOTUSDT | LONG | 8.09% -> STOP
2025-06-16 08:28:00 | AIOTUSDT | LONG | 10.01% -> STOP
2025-07-01 18:25:00 | AIOTUSDT | SHORT | -4.53% -> TAKE
2025-07-02 16:36:00 | AIOTUSDT | SHORT | -4.45% -> STOP
2025-06-04 11:01:00 | DOLOUSDT | LONG | 8.34% -> TAKE
2025-06-06 07:26:00 | DOLOUSDT | LONG | 4.14% -> TAKE
2025-07-01 14:07:00 | DOLOUSDT | LONG | 4.87% -> STOP
2025-06-16 09:04:00 | HAEDALUSDT | LONG | 16.25% -> STOP
2025-06-23 11:35:00 | MILKUSDT | LONG | 4.21% -> STOP
2025-06-23 12:14:00 | MILKUSDT | SHORT | -4.71% -> STOP
2025-06-23 12:52:00 | MILKUSDT | SHORT | -7.37% -> STOP
2025-06-26 00:45:00 | MILKUSDT | LONG | 4.55% -> STOP
2025-06-26 10:17:00 | MILKUSDT | LONG | 8.22% -> TAKE
2025-06-27 12:09:00 | MILKUSDT | SHORT | -9.29% -> TAKE
2025-06-11 09:55:00 | OBOLUSDT | SHORT | -4.06% -> STOP
2025-06-14 18:46:00 | OBOLUSDT | SHORT | -4.67% -> STOP
2025-06-17 08:50:00 | OBOLUSDT | LONG | 6.32% -> STOP
2025-06-18 01:01:00 | OBOLUSDT | SHORT | -4.06% -> STOP
